stock,industry_code,industry_name,implement_date
601666,B06,煤炭开采和洗选业,2006/11/23
601668,E47,房屋建筑业,2009/7/29
601668,E48,土木工程建筑业,2012/10/26
601669,E48,土木工程建筑业,2011/10/18
601677,C32,有色金属冶炼及压延加工业,2011/9/19
601678,S90,综合,2010/2/23
601678,C26,化学原料及化学制品制造业,2012/10/26
601686,C33,金属制品业,2020/12/4
601688,J67,资本市场服务,2010/2/26
601689,C36,汽车制造业,2015/3/19
601696,J67,资本市场服务,2020/2/26
601698,I63,电信、广播电视和卫星传输服务,2019/6/28
601699,B06,煤炭开采和洗选业,2006/9/22
601700,C33,金属制品业,2011/1/18
601702,C32,有色金属冶炼及压延加工业,2020/9/7
601717,C34,通用设备制造业,2010/8/3
601717,C35,专用设备制造业,2012/10/26
601717,C36,汽车制造业,2020/7/14
601718,S90,综合,2010/8/16
601718,C18,纺织服装、服饰业,2012/10/26
601727,C38,电气机械及器材制造业,2008/12/5
601727,C34,通用设备制造业,2012/10/26
601728,I63,电信、广播电视和卫星传输服务,2021/8/20
601766,C37,铁路、船舶、航空航天和其它运输设备制造业,2008/8/18
601777,C36,汽车制造业,2010/11/25
601778,D44,电力、热力生产和供应业,2020/5/19
601788,J67,资本市场服务,2009/8/18
601789,E47,房屋建筑业,2011/8/16
601789,E48,土木工程建筑业,2012/10/26
601798,C35,专用设备制造业,2011/6/22
601799,C38,电气机械及器材制造业,2011/2/1
601799,C36,汽车制造业,2012/10/26
601800,E48,土木工程建筑业,2012/3/9
601801,R85,新闻和出版业,2010/1/18
601808,B07,石油和天然气开采业,2007/9/28
601808,B11,开采辅助活动,2014/1/2
601811,R85,新闻和出版业,2016/8/8
601816,G53,铁路运输业,2020/1/16
601818,J66,货币金融服务,2010/8/18
601825,J66,货币金融服务,2021/8/19
601827,N77,生态保护和环境治理业,2020/6/5
601828,L72,商务服务业,2018/1/17
601838,J66,货币金融服务,2018/1/31
601857,B07,石油和天然气开采业,2007/11/5
601858,R85,新闻和出版业,2017/1/18
601860,J66,货币金融服务,2019/1/3
601865,C30,非金属矿物制品业,2019/2/15
601866,G55,水上运输业,2007/12/12
601868,E48,土木工程建筑业,2021/9/28
601869,C39,计算机、通信和其他电子设备制造业,2018/7/20
601872,G55,水上运输业,2006/12/1
601877,C38,电气机械及器材制造业,2010/1/21
601878,J67,资本市场服务,2017/6/26
601880,G58,装卸搬运和运输代理业,2010/12/6
601880,G55,水上运输业,2012/10/26
601881,J67,资本市场服务,2017/1/23
601882,C34,通用设备制造业,2016/11/7
601886,E50,建筑装饰和其他建筑业,2011/8/18
601888,L72,商务服务业,2009/10/15
601890,C37,铁路、船舶、航空航天和其它运输设备制造业,2010/12/28
601898,B06,煤炭开采和洗选业,2008/2/1
601899,B09,有色金属矿采选业,2008/4/25
601900,R85,新闻和出版业,2016/2/15
601901,J67,资本市场服务,2011/8/10
601908,C35,专用设备制造业,2011/9/8
601916,J66,货币金融服务,2019/11/26
601918,B06,煤炭开采和洗选业,2007/12/19
601919,G55,水上运输业,2007/6/26
601921,R85,新闻和出版业,2021/7/23
601928,R85,新闻和出版业,2011/11/30
601929,I63,电信、广播电视和卫星传输服务,2012/2/23
601933,F52,零售业,2010/12/15
601939,J66,货币金融服务,2007/9/25
601949,R85,新闻和出版业,2017/8/21
601952,A01,农业,2017/5/15
601952,C13,农副食品加工业,2017/9/11
601956,C34,通用设备制造业,2020/12/25
601958,B09,有色金属矿采选业,2008/4/17
601963,J66,货币金融服务,2021/2/5
601965,M74,专业技术服务业,2012/6/11
601965,C36,汽车制造业,2012/10/26
601965,M74,专业技术服务业,2020/7/14
601966,C29,橡胶和塑料制品业,2016/7/6
601968,C33,金属制品业,2015/6/11
601969,B08,黑色金属矿采选业,2014/12/9
601975,G55,水上运输业,2019/1/8
601985,D44,电力、热力生产和供应业,2015/6/10
601988,J66,货币金融服务,2006/7/5
601989,C35,专用设备制造业,2009/12/16
601989,C37,铁路、船舶、航空航天和其它运输设备制造业,2012/10/26
601990,J67,资本市场服务,2018/6/13
601991,D44,电力、热力生产和供应业,2006/12/20
601992,C30,非金属矿物制品业,2011/3/1
601995,J67,资本市场服务,2020/11/2
601996,C20,木材加工及木、竹、藤、棕、草制品业,2011/9/29
601997,J66,货币金融服务,2016/8/16
601998,J66,货币金融服务,2007/4/27
601999,R85,新闻和出版业,2007/12/21
603000,I64,互联网和相关服务,2012/4/27
603001,C19,皮革、毛皮、羽毛及其制品和制鞋业,2012/4/26
603002,C26,化学原料及化学制品制造业,2012/5/18
603002,C39,计算机、通信和其他电子设备制造业,2021/1/25
603003,F51,批发业,2012/8/17
603005,C39,计算机、通信和其他电子设备制造业,2014/2/10
603006,C36,汽车制造业,2014/6/30
603007,E48,土木工程建筑业,2016/8/26
603008,C21,家具制造业,2012/7/17
603009,C36,汽车制造业,2014/7/18
603010,C26,化学原料及化学制品制造业,2014/10/10
603011,C34,通用设备制造业,2014/11/7
603012,C35,专用设备制造业,2015/3/20
603013,C36,汽车制造业,2018/5/9
603015,C38,电气机械及器材制造业,2015/3/3
603016,C38,电气机械及器材制造业,2016/7/1
603017,M74,专业技术服务业,2014/12/31
603018,M74,专业技术服务业,2014/10/13
603019,C39,计算机、通信和其他电子设备制造业,2014/11/6
603020,C26,化学原料及化学制品制造业,2015/3/25
603020,C14,食品制造业,2015/7/20
603021,C30,非金属矿物制品业,2015/4/23
603022,C22,造纸及纸制品业,2015/5/18
603023,C39,计算机、通信和其他电子设备制造业,2015/5/27
603025,C39,计算机、通信和其他电子设备制造业,2015/4/22
